name,year,runtime,runtime_category,favorability_rounded,positive,neutral,negative,rating_normalized,country_normalized,genre_normalized
The Brothers Grimm,2005,118.0,2,0.58,25,29,18,0,1,3
Corpse Bride,2005,77.0,1,0.7,105,99,46,2,1,8
Transporter 2,2005,87.0,1,0.76,13,15,4,1,2,3
Two for the Money,2005,122.0,2,0.78,32,55,9,1,1,4
The New World,2005,135.0,2,0.73,110,100,40,0,1,7
Brick,2005,110.0,2,0.71,129,69,53,1,1,3
Wolf Creek,2005,99.0,1,0.58,98,82,70,1,3,5
Breakfast on Pluto,2005,128.0,2,0.78,69,96,20,1,6,1
The Exorcism of Emily Rose,2005,119.0,2,0.47,72,96,82,0,1,2
Elektra,2005,97.0,1,0.64,98,97,55,0,4,3
Doom,2005,105.0,2,0.62,96,96,58,1,0,3
The Legend of Zorro,2005,129.0,2,0.5,2,5,2,2,1,3
Cheaper by the Dozen 2,2005,94.0,1,0.62,8,3,5,2,1,0
Æon Flux,2005,93.0,1,0.64,25,21,14,0,1,3
Son of the Mask,2005,94.0,1,0.58,42,26,30,2,1,1
The Producers,2005,134.0,2,0.71,34,33,14,0,1,1
The Ringer,2005,94.0,1,0.6,12,20,8,0,1,1
The Cave,2005,97.0,1,0.68,72,71,34,0,1,3
Broken Flowers,2005,106.0,2,0.73,33,27,12,1,2,1
Fun with Dick and Jane,2005,90.0,1,0.71,82,77,33,0,1,1
Imagine Me & You,2005,90.0,1,0.79,81,45,21,1,0,1
The Family Stone,2005,103.0,2,0.53,48,24,42,0,1,1
Just Like Heaven,2005,95.0,1,0.79,42,36,11,0,1,1
Capote,2005,114.0,2,0.75,21,20,7,1,1,7
The Skeleton Key,2005,104.0,2,0.67,57,26,28,0,1,2
The Squid and the Whale,2005,81.0,1,0.76,13,16,4,1,1,1
Land of the Dead,2005,93.0,1,1.0,2,1,0,1,1,5
Man of the House,1995,96.0,1,0.96,26,22,1,2,1,1
Man of the House,2005,100.0,1,0.96,26,22,1,0,1,1
Elizabethtown,2005,123.0,2,0.82,80,59,17,0,1,1
Chicken Little,2005,81.0,1,0.68,72,143,34,3,1,8
Monster-in-Law,2005,101.0,2,0.72,115,89,44,0,1,1
Domino,2005,127.0,2,0.66,105,92,53,1,1,3
The Ring Two,2005,110.0,2,0.56,23,37,18,0,1,5
Harsh Times,2005,116.0,2,0.83,5,2,1,1,1,3
Herbie Fully Loaded,2005,101.0,2,0.79,30,27,8,3,1,0
Cursed,2005,97.0,1,0.65,54,167,29,0,5,1
xXx: State of the Union,2005,101.0,2,0.73,55,54,20,0,1,3
Derailed,2005,108.0,2,0.81,109,51,26,1,1,4
Romance & Cigarettes,2005,105.0,2,0.7,7,5,3,1,1,1
Unleashed,2005,103.0,2,0.79,78,69,21,1,0,3
Hustle & Flow,2005,116.0,2,0.76,13,32,4,1,1,4
The Fog,1980,89.0,1,0.62,82,50,51,1,1,5
The Fog,2005,100.0,1,0.62,82,50,51,0,1,5
Must Love Dogs,2005,98.0,1,0.0,0,2,0,0,1,1
The Ballad of Jack and Rose,2005,112.0,2,0.64,41,31,23,1,1,2
The Great Raid,2005,132.0,2,0.66,67,48,35,1,1,3
Venom,1981,92.0,1,0.69,102,103,45,1,0,5
Venom,2005,87.0,1,0.69,102,103,45,1,1,5
Venom,2018,112.0,2,0.69,102,103,45,0,7,3
Roll Bounce,2005,112.0,2,1.0,4,6,0,0,1,1
Alone in the Dark,2005,96.0,1,0.6,101,82,67,1,4,3
An American Haunting,2005,83.0,1,0.53,8,3,7,0,0,2
Supercross,2005,80.0,1,0.76,13,7,4,0,1,3
Oliver Twist,2005,130.0,2,0.64,44,45,25,0,2,4
White Noise,2005,101.0,2,0.48,74,96,80,0,0,2
Are We There Yet?,2005,95.0,1,0.69,76,140,34,2,1,0
The Protector,1985,91.0,1,0.56,90,90,70,1,8,3
The Protector,2005,111.0,2,0.56,90,90,70,1,9,3
Proof,1991,86.0,1,0.4,54,92,81,1,3,2
Proof,2005,100.0,1,0.4,54,92,81,0,1,2
Last Days,2005,97.0,1,0.55,97,74,79,1,1,2
Racing Stripes,2005,102.0,2,0.65,13,15,7,2,1,0
A Sound of Thunder,2005,110.0,2,0.54,85,54,71,0,10,3
Keeping Mum,2005,99.0,1,0.74,20,15,7,1,0,1
An Unfinished Life,2005,108.0,2,0.83,34,19,7,0,5,2
Boogeyman,2005,89.0,1,0.45,79,75,96,0,1,2
Fierce People,2005,107.0,2,0.84,64,36,12,1,1,2
Me and You and Everyone We Know,2005,91.0,1,0.86,24,26,4,1,1,1
Transamerica,2005,103.0,2,0.86,19,19,3,1,1,0
The Lost City,2005,144.0,2,0.65,116,72,62,1,1,2
Beauty Shop,2005,105.0,2,0.82,14,17,3,0,1,1
The Upside of Anger,2005,118.0,2,0.72,21,8,8,1,1,1
The Chumscrubber,2005,108.0,2,0.7,43,13,18,1,1,1
The Man,2005,83.0,1,0.74,37,21,13,0,1,3
Prime,2005,105.0,2,0.67,99,102,49,0,1,1
Manderlay,2005,139.0,2,0.53,19,27,17,4,11,2
Junebug,2005,106.0,2,0.67,8,5,4,1,1,1
Dominion,2005,117.0,2,0.45,71,91,88,1,1,2
Battle in Heaven,2005,98.0,1,0.38,3,3,5,5,12,4
Dreamer,2005,106.0,2,1.0,6,5,0,2,1,2
Black,2005,122.0,2,0.75,12,31,4,4,13,2
Factotum,2005,94.0,1,0.76,42,19,13,1,14,1
Beowulf & Grendel,2005,103.0,2,0.6,114,60,76,1,4,3
Joyeux Noel,2005,116.0,2,0.55,93,61,77,0,2,2
Dirty Love,2005,91.0,1,0.8,12,5,3,1,1,1
Everything Is Illuminated,2005,106.0,2,0.73,74,69,28,0,1,1
Thumbsucker,2005,96.0,1,1.0,10,7,0,1,1,1
Rebound,2005,86.0,1,0.5,1,6,1,2,1,1
The Departed,2006,151.0,2,0.77,121,93,37,1,1,4
The Fast and the Furious: Tokyo Drift,2006,104.0,2,0.61,98,89,63,0,1,3
Talladega Nights: the Ballad of Ricky Bobby,2006,108.0,2,0.73,32,37,12,0,1,1
The Prestige,2006,130.0,2,0.82,122,101,27,0,0,2
The Devil Wears Prada,2006,109.0,2,0.7,96,113,41,0,1,1
Casino Royale,2006,144.0,2,0.73,131,70,49,0,0,3
Pan's Labyrinth,2006,118.0,2,0.58,91,94,65,1,15,2
Pirates of the Caribbean: Dead Man's Chest,2006,151.0,2,0.65,24,32,13,0,1,3
Idiocracy,2006,84.0,1,0.61,71,84,45,1,1,0
Apocalypto,2006,139.0,2,0.78,123,93,34,1,1,3
She's the Man,2006,105.0,2,0.79,113,107,30,0,1,1
Little Children,2006,137.0,2,0.8,64,38,16,1,1,2
Children of Men,2006,109.0,2,0.66,101,98,52,1,1,0
The Da Vinci Code,2006,149.0,2,0.75,99,118,33,0,1,9
The Pursuit of Happyness,2006,117.0,2,0.8,111,112,27,0,1,7
Little Miss Sunshine,2006,101.0,2,0.79,52,42,14,1,1,1
The Last King of Scotland,2006,123.0,2,0.62,40,41,24,1,0,7
Blood Diamond,2006,143.0,2,0.7,112,91,47,1,1,0
The Lives of Others,2006,137.0,2,0.74,112,98,40,1,5,2
Marie Antoinette,2006,123.0,2,0.64,96,101,53,0,1,7
Inside Man,2006,129.0,2,0.88,45,199,6,1,1,4
Running Scared,1986,107.0,2,0.81,39,19,9,1,1,3
Running Scared,2006,122.0,2,0.81,39,19,9,1,5,3
Accepted,2006,93.0,1,0.72,104,107,40,0,1,1
Superman Returns,2006,154.0,2,0.75,126,83,41,0,1,3
Slither,2006,95.0,1,0.55,66,104,53,1,4,1
Nacho Libre,2006,92.0,1,0.87,39,33,6,2,1,1
The Covenant,2006,97.0,1,0.76,139,66,45,0,1,3
The Hills Have Eyes,2006,107.0,2,0.55,76,111,63,1,1,5
The Fountain,2006,97.0,1,0.74,117,91,42,0,4,2
X-Men: the Last Stand,2006,104.0,2,0.67,64,62,32,0,1,3
Underworld: Evolution,2006,106.0,2,0.81,29,23,7,1,1,3
Click,2006,107.0,2,0.63,102,89,59,0,1,1
The Holiday,2006,136.0,2,0.7,99,108,43,0,1,1
Silent Hill,2006,125.0,2,0.53,87,87,76,1,4,5
Basic Instinct 2,2006,114.0,2,0.54,33,43,28,1,0,2
The Black Dahlia,2006,121.0,2,0.38,3,6,5,1,1,4
Perfume: The Story of a Murderer,2006,147.0,2,0.79,120,99,31,1,5,4
Lucky Number Slevin,2006,110.0,2,0.81,73,37,17,1,1,4
Smokin' Aces,2006,108.0,2,0.75,100,118,33,1,0,3
Cashback,2006,102.0,2,0.81,128,92,30,1,0,1
Deja Vu,2006,126.0,2,0.71,98,111,41,0,1,3
Grandma's Boy,2006,94.0,1,0.78,128,85,37,1,1,1
RV,2006,99.0,1,0.83,40,34,8,2,0,0
Tenacious D in the Pick of Destiny,2006,93.0,1,0.63,12,6,7,1,1,0
Black Book,2006,145.0,2,0.69,118,78,54,1,16,2
Stick It,2006,103.0,2,0.87,148,79,23,0,5,1
Step Up,2006,104.0,2,0.79,121,96,32,0,1,4
Step Up,2010,107.0,2,0.79,121,96,32,0,1,2
The Host,2006,120.0,2,0.79,132,82,36,1,17,3
The Host,2013,125.0,2,0.79,132,82,36,0,1,3
Stranger Than Fiction,2006,113.0,2,0.85,111,119,20,0,1,1
Eragon,2006,104.0,2,0.61,113,64,73,2,1,3
Dreamgirls,2006,130.0,2,0.87,26,18,4,0,1,2
A Good Year,2006,117.0,2,0.88,63,39,9,0,1,1
Miami Vice,2006,132.0,2,0.71,118,83,49,1,5,3
Bug,2006,102.0,2,0.52,25,18,23,1,1,2
Notes on a Scandal,2006,92.0,1,0.77,130,81,39,1,0,4
Firewall,2006,105.0,2,0.0,0,1,0,0,1,3
Madea's Family Reunion,2006,107.0,2,1.0,3,15,0,0,1,1
The Foot Fist Way,2006,85.0,1,1.0,1,0,0,1,1,1
The Astronaut Farmer,2006,104.0,2,0.58,11,13,8,2,1,0
Mini's First Time,2006,91.0,1,0.84,26,15,5,1,1,1
Lonely Hearts,1982,106.0,2,0.86,12,9,2,1,3,1
Lonely Hearts,2006,108.0,2,0.86,12,9,2,1,5,7
A Guide to Recognizing Your Saints,2006,100.0,1,0.67,2,4,1,1,1,4
Everyone's Hero,2006,87.0,1,0.57,51,61,38,3,4,8
Severance,2006,96.0,1,0.66,31,23,16,1,0,1
Kabhi Alvida Naa Kehna,2006,193.0,2,0.8,143,71,36,4,13,2
Old Joy,2006,76.0,1,0.67,4,5,2,5,1,2
The Grudge 2,2006,102.0,2,0.52,80,96,74,0,1,5
For Your Consideration,2006,86.0,1,0.92,11,7,1,0,1,1
The Sentinel,2006,108.0,2,0.6,6,5,4,0,1,3
The Breed,2006,91.0,1,0.7,16,13,7,1,5,3
Skinwalkers,2006,110.0,2,0.5,3,8,3,1,4,3
Hoot,2006,91.0,1,0.77,108,110,33,2,1,0
There Will Be Blood,2007,158.0,2,0.71,85,82,35,1,1,2
No Country for Old Men,2007,122.0,2,0.62,110,73,67,1,1,4
Stardust,2007,127.0,2,0.82,92,90,20,0,0,0
Gone Baby Gone,2007,114.0,2,0.73,36,21,13,1,1,4
Disturbia,2007,105.0,2,0.75,112,101,37,0,1,4
Zodiac,2007,157.0,2,0.6,90,99,61,1,1,4
Superbad,2007,113.0,2,0.82,94,101,21,1,1,1
Transformers,2007,144.0,2,0.49,54,141,56,0,1,3
Harry Potter and the Order of the Phoenix,2007,138.0,2,0.7,107,98,45,0,0,3
Into the Wild,2007,148.0,2,0.68,120,73,57,1,1,0
Atonement,2007,123.0,2,0.53,96,70,84,1,0,2
American Gangster,2007,157.0,2,0.8,114,108,28,1,1,7
Spider-Man 3,2007,139.0,2,0.74,98,117,35,0,1,3
Live Free or Die Hard,2007,128.0,2,0.57,100,44,76,0,1,3
Hot Fuzz,2007,121.0,2,0.82,14,21,3,1,0,3
I Am Legend,2007,101.0,2,0.62,80,121,49,0,1,3
Sunshine,1999,181.0,2,0.61,20,41,13,1,5,2
Sunshine,2007,107.0,2,0.61,20,41,13,1,0,10
Juno,2007,96.0,1,0.6,92,97,61,0,1,1
28 Weeks Later,2007,100.0,1,0.49,33,38,35,1,0,5
Hitman,2007,100.0,1,0.71,105,103,42,1,2,3
The Mist,2007,126.0,2,0.39,73,63,114,1,1,5
Hairspray,1988,92.0,1,0.79,126,90,34,2,1,1
Hairspray,2007,117.0,2,0.79,126,90,34,2,1,1
Knocked Up,2007,129.0,2,0.73,112,97,41,1,1,1
Sweeney Todd: the Demon Barber of Fleet Street,2007,116.0,2,0.74,116,93,41,1,1,2
Ghost Rider,2007,110.0,2,0.55,74,116,61,0,1,3
Hot Rod,2007,88.0,1,0.83,52,48,11,0,1,1
The Darjeeling Limited,2007,91.0,1,0.81,126,96,29,1,1,0
Bridge to Terabithia,2007,96.0,1,0.47,81,77,93,2,1,2
The Nanny Diaries,2007,105.0,2,0.77,114,102,34,0,1,1
Funny Games,2007,111.0,2,0.45,80,71,99,1,1,4
Halloween,2007,109.0,2,0.59,100,81,69,1,1,5
Halloween,2018,106.0,2,0.59,100,81,69,1,1,4
Eastern Promises,2007,100.0,1,0.82,27,21,6,1,0,3
The Bourne Ultimatum,2007,115.0,2,0.68,65,57,31,0,1,3
Fracture,2007,113.0,2,0.76,26,12,8,1,1,4
Beowulf,2007,115.0,2,0.74,37,44,13,0,1,8
Next,2007,96.0,1,0.69,123,72,55,0,1,3
3:10 to Yuma,2007,122.0,2,0.69,114,84,52,1,1,3
Across the Universe,2007,133.0,2,0.68,100,104,46,0,1,2
Ocean's Thirteen,2007,122.0,2,0.69,24,31,11,0,1,4
Blades of Glory,2007,93.0,1,0.69,24,33,11,0,1,1
Surf's Up,2007,85.0,1,0.89,25,20,3,2,1,8
Resident Evil: Extinction,2007,94.0,1,0.66,52,53,27,1,2,3
30 Days of Night,2007,113.0,2,0.63,63,62,37,1,1,3
Awake,2007,84.0,1,0.46,75,88,87,1,1,4
Dead Silence,2007,89.0,1,0.47,72,98,80,1,1,5
Bee Movie,2007,91.0,1,0.79,101,122,27,2,1,8
The Heartbreak Kid,2007,116.0,2,0.73,16,16,6,1,1,1
Aliens vs. Predator: Requiem,2007,94.0,1,0.61,20,23,13,1,1,3
1408,2007,104.0,2,0.61,94,96,60,0,1,11
The Kingdom,2007,110.0,2,0.67,76,66,38,1,1,3
Good Luck Chuck,2007,96.0,1,0.66,78,72,40,1,1,1
Hostel: Part II,2007,94.0,1,0.51,21,30,20,1,1,5
The Golden Compass,2007,113.0,2,0.78,114,87,33,0,0,0
Rush Hour 3,2007,91.0,1,0.63,59,80,34,0,1,3
The Babysitters,2007,88.0,1,0.71,12,8,5,1,1,2
Timecrimes,2007,92.0,1,0.63,98,89,57,1,15,5
Meet the Robinsons,2007,95.0,1,0.74,100,115,36,3,1,8
Michael Clayton,2007,119.0,2,0.76,77,39,24,1,1,4
The Bucket List,2007,97.0,1,0.74,137,66,47,0,1,0
"Lust, Caution",2007,157.0,2,0.73,129,74,47,6,18,2
Charlie Wilson's War,2007,102.0,2,0.46,66,80,78,1,1,7
Paranormal Activity,2007,86.0,1,0.49,80,86,84,1,1,5
Freedom Writers,2007,123.0,2,0.73,110,99,41,0,5,7
Before the Devil Knows You're Dead,2007,117.0,2,0.8,8,0,2,1,1,4
In the Valley of Elah,2007,121.0,2,0.5,6,6,6,1,1,4
P.S. I Love You,2007,126.0,2,0.66,106,89,55,0,1,1
National Treasure: Book of Secrets,2007,124.0,2,0.85,17,15,3,2,1,3
Lars and the Real Girl,2007,106.0,2,0.73,108,103,39,0,1,1
The Orphanage,2007,105.0,2,0.63,105,81,61,1,15,2
Hannibal Rising,2007,121.0,2,0.64,124,56,70,1,10,3
Saw IV,2007,93.0,1,0.55,11,18,9,1,4,4
Premonition,2007,96.0,1,0.51,80,94,76,0,1,2
The Simpsons Movie,2007,87.0,1,0.78,88,138,25,0,1,8
Teeth,2007,94.0,1,0.56,85,98,67,1,1,3
Death at a Funeral,2007,90.0,1,0.75,133,73,44,1,1,1
Death at a Funeral,2010,92.0,1,0.75,133,73,44,1,1,1
Wild Hogs,2007,100.0,1,1.0,7,4,0,0,1,3
Mr. Brooks,2007,120.0,2,0.72,126,76,48,1,1,4
Mr. Bean's Holiday,2007,90.0,1,0.72,13,38,5,3,0,1
Burn After Reading,2008,96.0,1,0.82,141,79,31,1,1,1
Forgetting Sarah Marshall,2008,111.0,2,0.71,79,84,33,1,1,1
Seven Pounds,2008,123.0,2,0.75,97,78,33,0,1,2
In Bruges,2008,107.0,2,0.7,23,20,10,1,0,1
Sex and the City,2008,145.0,2,0.73,91,120,34,1,1,1
Slumdog Millionaire,2008,120.0,2,0.77,121,92,37,1,0,2
RocknRolla,2008,114.0,2,0.75,85,80,29,1,0,3
Gran Torino,2008,116.0,2,0.71,112,92,46,1,5,2
The Duchess,2008,110.0,2,0.73,71,52,26,0,0,7
The Reader,2008,124.0,2,0.68,17,8,8,1,5,2
The Hurt Locker,2008,131.0,2,0.66,111,82,57,1,1,2
Rambo,2008,92.0,1,0.73,112,97,41,1,5,3
The Happening,2008,91.0,1,0.58,90,96,64,1,1,2
The Wrestler,2008,109.0,2,0.7,132,62,56,1,1,2
Cloverfield,2008,85.0,1,0.66,107,89,54,0,1,3
Changeling,2008,141.0,2,0.59,10,12,7,1,1,7
Eagle Eye,2008,118.0,2,0.65,107,86,57,0,1,3
The Ruins,2008,90.0,1,0.53,64,85,56,1,1,0
The Other Boleyn Girl,2008,115.0,2,0.64,97,99,54,0,0,7
21,2008,123.0,2,0.76,29,39,9,0,1,4
Never Back Down,2008,113.0,2,0.73,115,92,43,0,1,3
The Mummy: Tomb of the Dragon Emperor,2008,112.0,2,0.54,97,72,81,0,1,3
Hancock,2008,92.0,1,0.77,30,33,9,0,1,3
Journey to the Center of the Earth,2008,93.0,1,0.84,107,122,21,2,1,3
Bolt,2008,96.0,1,0.79,53,68,14,2,1,8
Sex Drive,2008,109.0,2,0.8,128,90,32,1,1,1
Death Race,2008,105.0,2,0.67,105,94,52,1,1,3
Pineapple Express,2008,111.0,2,0.75,102,114,34,1,1,3
Valkyrie,2008,121.0,2,0.76,92,129,29,0,1,2
27 Dresses,2008,111.0,2,0.68,51,63,24,0,1,1
Let the Right One In,2008,114.0,2,0.71,121,79,50,1,19,4
Role Models,2008,99.0,1,0.76,34,47,11,1,5,1
Defiance,2008,137.0,2,0.62,104,81,65,1,1,3
"Definitely, Maybe",2008,112.0,2,0.87,125,107,18,0,0,1
The Forbidden Kingdom,2008,104.0,2,0.63,60,43,35,0,1,3
Bronson,2008,92.0,1,0.63,93,103,54,1,0,3
Australia,2008,165.0,2,0.72,94,75,36,0,0,0
Yes Man,2008,104.0,2,0.75,84,39,28,0,1,1
Body of Lies,2008,128.0,2,0.78,63,39,18,1,1,3
Disaster Movie,2008,87.0,1,0.4,71,74,105,0,1,1
Superhero Movie,2008,75.0,1,0.7,28,28,12,0,1,3
Jumper,2008,88.0,1,0.32,8,53,17,0,1,3
The Bank Job,2008,111.0,2,0.81,46,38,11,1,0,4
Street Kings,2008,109.0,2,0.67,108,89,53,1,1,3
Get Smart,2008,110.0,2,0.6,93,94,63,0,1,3
Punisher: War Zone,2008,103.0,2,0.57,108,59,83,1,1,3
You Don't Mess with the Zohan,2008,113.0,2,0.62,86,111,53,0,1,1
Hellboy II: the Golden Army,2008,120.0,2,0.5,1,1,1,0,1,3
"Synecdoche, New York",2008,124.0,2,0.63,37,37,22,1,1,2
Marley & Me,2008,115.0,2,0.6,91,99,60,2,1,1
Fool's Gold,2008,112.0,2,0.82,45,46,10,0,1,3
The Secret Life of Bees,2008,114.0,2,0.8,152,59,39,0,1,2
Nick and Norah's Infinite Playlist,2008,90.0,1,0.8,12,4,3,0,1,1
Doomsday,2008,105.0,2,0.5,81,88,81,1,0,3
Max Payne,2008,100.0,1,0.59,107,68,75,0,1,3
The Day the Earth Stood Still,2008,104.0,2,0.57,17,15,13,0,1,2
The Spirit,2008,103.0,2,0.52,91,76,83,0,1,3
Ghost Town,2008,102.0,2,0.67,8,15,4,0,1,1
Bottle Shock,2008,110.0,2,0.92,12,5,1,0,1,1
The Rocker,2008,102.0,2,0.79,72,48,19,0,1,1
Semi-Pro,2008,91.0,1,0.0,0,2,0,1,1,1
Repo! The Genetic Opera,2008,98.0,1,0.7,126,69,54,1,1,5
Outlander,2008,115.0,2,0.74,130,75,46,1,1,3
Saw V,2008,92.0,1,1.0,7,8,0,1,4,4
Miss Pettigrew Lives for a Day,2008,92.0,1,0.67,2,2,1,0,0,1
Hunger,2008,96.0,1,0.67,121,70,59,4,6,7
The Women,2008,114.0,2,0.64,113,55,64,0,1,1
Choke,2008,92.0,1,0.6,76,123,51,1,1,1
Doubt,2008,104.0,2,0.64,36,32,20,0,1,2
"10,000 BC",2008,109.0,2,0.55,11,25,9,0,1,3
The Midnight Meat Train,2008,100.0,1,0.62,43,33,26,1,1,5
Drillbit Taylor,2008,110.0,2,0.71,5,6,2,0,1,3
Made of Honor,2008,101.0,2,0.88,90,73,12,0,1,1
What Happens in Vegas,2008,99.0,1,0.61,28,83,18,0,1,1
The Brothers Bloom,2008,114.0,2,0.0,0,1,1,0,1,3
Inkheart,2008,106.0,2,0.7,123,74,53,2,5,0
Appaloosa,2008,115.0,2,0.5,2,7,2,1,1,3
Vantage Point,2008,90.0,1,0.67,92,112,46,0,1,3
Untraceable,2008,101.0,2,0.48,78,89,83,1,1,4
Red Cliff,2008,148.0,2,0.71,104,103,43,1,7,3
Sunshine Cleaning,2008,91.0,1,0.84,109,35,20,1,1,1
How to Lose Friends & Alienate People,2008,110.0,2,0.74,58,32,20,1,0,7
Transporter 3,2008,104.0,2,0.73,102,111,37,0,2,3
Prom Night,1980,92.0,1,0.55,56,52,45,1,4,5
Prom Night,2008,88.0,1,0.55,56,52,45,0,1,5
Rachel Getting Married,2008,113.0,2,0.72,97,63,38,1,1,2
Righteous Kill,2008,101.0,2,0.49,24,18,25,1,1,4
Leatherheads,2008,114.0,2,0.74,17,27,6,0,1,1
Meet the Spartans,2008,87.0,1,0.54,99,67,84,0,1,1
Star Wars: The Clone Wars,2008,98.0,1,0.63,105,84,62,2,1,8
Mirrors,2008,110.0,2,0.48,69,107,74,1,1,5
Baby Mama,2008,99.0,1,0.74,42,37,15,0,1,1
Whip It,2009,111.0,2,0.76,126,84,40,0,1,2
Couples Retreat,2009,113.0,2,0.89,39,34,5,0,1,1
Ondine,2009,111.0,2,0.94,15,8,1,0,6,2
Drag Me to Hell,2009,99.0,1,0.0,0,2,1,0,1,5
The Girl with the Dragon Tattoo,2009,152.0,2,0.74,133,70,47,1,19,4
The Girl with the Dragon Tattoo,2011,158.0,2,0.74,133,70,47,1,1,4
The Girl with the Dragon Tattoo,2009,152.0,2,0.74,133,70,47,1,19,4
The Girl with the Dragon Tattoo,2011,158.0,2,0.74,133,70,47,1,1,4
Extract,2009,92.0,1,0.61,89,105,56,1,1,1
The Men Who Stare at Goats,2009,94.0,1,0.64,102,92,57,1,1,1
Land of the Lost,2009,102.0,2,0.65,45,42,24,0,1,3
A Single Man,2009,99.0,1,0.78,81,52,23,1,1,2
Now & Later,2009,99.0,1,0.94,15,10,1,5,1,2
Pirate Radio,2009,117.0,2,0.75,45,26,15,1,0,1
Dragonball Evolution,2009,85.0,1,0.63,109,76,65,2,1,3
Spread,2009,97.0,1,0.8,4,7,1,1,1,1
Case 39,2009,109.0,2,0.62,101,88,61,1,1,5
The Taking of Pelham 123,2009,106.0,2,0.79,11,7,3,1,1,3
It's Complicated,2009,120.0,2,0.88,60,22,8,1,1,1
